Frequency (Hz)	Level (dB)
539.002991	-47.940861
539.675903	-48.805248
540.348816	-49.172569
541.021729	-49.511742
541.694641	-50.296947
542.367554	-51.383053
543.040466	-52.455040
543.713379	-53.183426
544.386292	-53.635868
545.059204	-53.633778
545.732117	-53.369236
546.405029	-53.233006
547.077942	-52.189762
547.750854	-50.837379
548.423767	-49.873810
549.096680	-49.121563
549.769592	-48.498241
550.442505	-48.283279
551.115417	-48.341751
551.788330	-48.615612
552.461243	-49.013729
553.134155	-49.461445
553.807068	-50.068871
554.479980	-50.992859
555.152893	-52.103405
555.825806	-53.150127
556.498718	-54.419483
557.171631	-55.412033
557.844543	-55.937332
558.517456	-55.678448
559.190369	-55.027340
559.863281	-53.966221
560.536194	-52.976551
561.209106	-52.239529
561.882019	-51.558853
562.554932	-50.912395
563.227844	-50.516777
563.900757	-50.364201
564.573669	-50.153000
565.246582	-50.076416
565.919495	-50.147015
566.592407	-50.338718
567.265320	-50.183315
567.938232	-50.132587
568.611145	-50.024616
569.284058	-50.354946
569.956970	-50.908653
570.629883	-51.263260
571.302795	-51.312889
571.975708	-51.069160
572.648621	-50.473965
573.321533	-49.334705
573.994446	-48.123474
574.667358	-46.970127
575.340271	-45.563602
576.013184	-44.453655
576.686096	-43.678650
577.359009	-43.073536
578.031921	-42.599396
578.704834	-42.210754
579.377747	-42.074574
580.050659	-42.310707
580.723572	-42.803894
581.396484	-43.176399
582.069397	-43.394558
582.742310	-43.588520
583.415222	-43.103500
584.088135	-41.802258
584.761047	-38.854847
585.433960	-34.428032
586.106873	-29.027575
586.779785	-24.762403
587.452698	-23.244177
588.125610	-24.455975
588.798523	-27.946749
589.471436	-32.780960
590.144348	-37.059856
590.817261	-39.658894
591.490173	-41.701637
592.163086	-43.572971
592.835999	-45.230659
593.508911	-46.536640
594.181824	-47.413418
594.854736	-48.007729
595.527649	-48.294273
596.200562	-48.358192
596.873474	-48.462605
597.546387	-49.058571
598.219299	-50.002796
598.892212	-51.449825
599.565125	-53.442013
600.238037	-54.748028
600.910950	-55.937622
601.583862	-57.181469
602.256775	-57.190823
602.929688	-57.507671
603.602600	-57.785770
604.275513	-57.668308
604.948425	-57.577908
605.621338	-57.361637
606.294250	-57.604591
606.967163	-57.659389
607.640076	-57.637589
608.312988	-57.703770
608.985901	-57.359955
609.658813	-57.222969
610.331726	-57.549393
611.004639	-58.103741
611.677551	-58.735603
612.350464	-59.468792
613.023376	-60.025314
613.696289	-60.743450
614.369202	-61.065086
615.042114	-60.935108
615.715027	-61.012012
616.387939	-60.654530
617.060852	-60.195766
617.733765	-60.280704
618.406677	-60.406540
619.079590	-59.956142
619.752502	-59.769249
620.425415	-59.477833
621.098328	-59.449200
621.771240	-59.364849
622.444153	-58.880203
623.117065	-58.390514
623.789978	-58.433937
624.462891	-58.877884
625.135803	-59.496574
625.808716	-60.338799
626.481628	-60.875011
627.154541	-61.098213
627.827454	-61.690582
628.500366	-61.623367
629.173279	-61.749825
629.846191	-61.746433
630.519104	-61.462940
631.192017	-60.695957
631.864929	-59.753414
632.537842	-59.661282
633.210754	-59.821735
633.883667	-59.752857
634.556580	-59.932846
635.229492	-59.703457
635.902405	-59.052368
636.575317	-58.305790
637.248230	-57.821110
637.921143	-57.658981
638.594055	-58.043407
639.266968	-58.961525
639.939880	-59.457455
640.612793	-59.637657
641.285706	-59.641384
641.958618	-59.308941
642.631531	-59.178627
643.304443	-58.908318
643.977356	-58.946182
644.650269	-59.164131
645.323181	-60.126652
645.996094	-61.428761
646.669006	-62.254364
647.341919	-63.358234
648.014832	-63.774612
648.687744	-62.991249
649.360657	-62.137241
650.033569	-61.692760
650.706482	-61.569683
651.379395	-61.760464
652.052307	-61.483677
652.725220	-60.492458
653.398132	-61.349464
654.071045	-60.169868
654.743958	-58.241814
655.416870	-56.013657
656.089783	-53.661110
656.762695	-50.920071
657.435608	-47.404148
658.108521	-43.070885
658.781433	-39.506222
659.454346	-38.982372
660.127258	-43.744598
